Feature ranking:
          2       0.64      0.39      0.48        75

avg / total       0.70      0.71      0.70       581

Support vector classification with linear kernel:
             precision    recall  f1-score   support

          0       0.70      0.69      0.69       206
          1       0.71      0.80      0.75       300
          2       0.72      0.37      0.49        75

avg / total       0.70      0.70      0.70       581

Recursive feature elimination:
LDA + recall_macro:
Optimal number of features : 28
             precision    recall  f1-score   support

          0       0.71      0.70      0.71       206
          1       0.73      0.77      0.75       300
          2       0.63      0.52      0.57        75

avg / total       0.71      0.71      0.71       581

Leave-one-out cross validation accuracy:0.669535283993
LDA + recall_weighted:
Optimal number of features : 23
             precision    recall  f1-score   support

          0       0.71      0.70      0.71       206
          1       0.73      0.77      0.75       300
          2       0.64      0.52      0.57        75

avg / total       0.71      0.71      0.71       581

Leave-one-out cross validation accuracy:0.664371772806
Logistic regression + recall_macro:
Optimal number of features : 20
             precision    recall  f1-score   support

          0       0.70      0.70      0.70       206
          1       0.70      0.80      0.75       300
          2       0.69      0.32      0.44        75

avg / total       0.70      0.70      0.69       581

Leave-one-out cross validation accuracy:0.671256454389
Logistic regression + recall_weighted:
Optimal number of features : 20
             precision    recall  f1-score   support

          0       0.70      0.70      0.70       206
          1       0.70      0.80      0.75       300
          2       0.69      0.32      0.44        75

avg / total       0.70      0.70      0.69       581

Leave-one-out cross validation accuracy:0.671256454389
SVC(linear) + recall_macro:
Optimal number of features : 23
             precision    recall  f1-score   support

          0       0.72      0.70      0.71       206
          1       0.71      0.81      0.76       300
          2       0.74      0.35      0.47        75

avg / total       0.72      0.71      0.70       581

Leave-one-out cross validation accuracy:0.657487091222
SVC(linear) + recall_weighted:
Optimal number of features : 23
             precision    recall  f1-score   support

          0       0.72      0.70      0.71       206
          1       0.71      0.81      0.76       300
          2       0.74      0.35      0.47        75

avg / total       0.72      0.71      0.70       581

Leave-one-out cross validation accuracy:0.657487091222
