Feature ranking:
934. PubchemFP703 (0.000451)
935. PubchemFP566 (0.000451)
936. PubchemFP658 (0.000450)
937. PubchemFP363 (0.000449)
938. PubchemFP712 (0.000446)
939. PubchemFP1 (0.000445)
940. nddssS (0.000444)
941. ntsC (0.000444)
942. PubchemFP672 (0.000444)
943. minaaN (0.000442)
944. PubchemFP33 (0.000440)
945. PubchemFP710 (0.000439)
946. maxtsC (0.000438)
947. PubchemFP576 (0.000438)
948. PubchemFP630 (0.000438)
949. PubchemFP824 (0.000437)
950. maxHBint8 (0.000436)
951. PubchemFP539 (0.000436)
952. mintsC (0.000435)
953. PubchemFP430 (0.000434)
954. PubchemFP761 (0.000433)
955. nBondsT (0.000431)
956. maxaasN (0.000430)
957. StsC (0.000429)
958. PubchemFP403 (0.000427)
959. minaasN (0.000427)
960. PubchemFP183 (0.000426)
961. PubchemFP544 (0.000424)
962. PubchemFP341 (0.000424)
963. maxaaN (0.000421)
964. PubchemFP293 (0.000421)
965. mintN (0.000420)
966. PubchemFP14 (0.000418)
967. PubchemFP482 (0.000416)
968. PubchemFP716 (0.000416)
969. minddssS (0.000415)
970. PubchemFP700 (0.000414)
971. SHBint8 (0.000413)
972. PubchemFP546 (0.000412)
973. PubchemFP830 (0.000412)
974. PubchemFP767 (0.000411)
975. nT7Ring (0.000410)
976. PubchemFP507 (0.000410)
977. PubchemFP213 (0.000408)
978. PubchemFP258 (0.000408)
979. PubchemFP493 (0.000408)
980. PubchemFP351 (0.000407)
981. nTG12Ring (0.000406)
982. SddssS (0.000405)
983. maxtN (0.000404)
984. nFG12Ring (0.000404)
985. PubchemFP530 (0.000404)
986. ntN (0.000403)
987. PubchemFP506 (0.000403)
988. PubchemFP461 (0.000402)
989. PubchemFP390 (0.000402)
990. StN (0.000401)
991. PubchemFP472 (0.000401)
992. PubchemFP464 (0.000400)
993. PubchemFP755 (0.000400)
994. PubchemFP515 (0.000399)
995. PubchemFP285 (0.000399)
996. naasN (0.000399)
997. PubchemFP419 (0.000399)
998. PubchemFP618 (0.000394)
999. SaasN (0.000394)
1000. PubchemFP523 (0.000392)
1001. PubchemFP189 (0.000387)
1002. PubchemFP633 (0.000383)
1003. PubchemFP581 (0.000382)
1004. nHBint8 (0.000382)
1005. PubchemFP462 (0.000381)
1006. maxHsNH2 (0.000380)
1007. PubchemFP642 (0.000380)
1008. PubchemFP714 (0.000379)
1009. PubchemFP516 (0.000379)
1010. PubchemFP641 (0.000379)
1011. PubchemFP699 (0.000379)
1012. PubchemFP776 (0.000374)
1013. PubchemFP150 (0.000374)
1014. PubchemFP412 (0.000374)
1015. PubchemFP594 (0.000373)
1016. SHsNH2 (0.000373)
1017. minHsNH2 (0.000371)
1018. PubchemFP377 (0.000371)
1019. n7Ring (0.000370)
1020. PubchemFP549 (0.000370)
1021. PubchemFP666 (0.000369)
1022. PubchemFP600 (0.000369)
1023. PubchemFP537 (0.000369)
1024. PubchemFP656 (0.000369)
1025. PubchemFP707 (0.000369)
1026. PubchemFP613 (0.000369)
1027. PubchemFP376 (0.000368)
1028. nTG12HeteroRing (0.000368)
1029. PubchemFP677 (0.000368)
1030. PubchemFP665 (0.000368)
1031. PubchemFP792 (0.000368)
1032. PubchemFP729 (0.000368)
1033. PubchemFP358 (0.000367)
1034. PubchemFP584 (0.000367)
1035. nFG12HeteroRing (0.000366)
1036. PubchemFP668 (0.000366)
1037. PubchemFP603 (0.000365)
1038. PubchemFP387 (0.000365)
1039. PubchemFP578 (0.000365)
1040. PubchemFP623 (0.000364)
1041. minssS (0.000364)
1042. PubchemFP564 (0.000362)
1043. PubchemFP634 (0.000361)
1044. SssS (0.000361)
1045. PubchemFP3 (0.000360)
1046. PubchemFP545 (0.000359)
1047. PubchemFP821 (0.000359)
1048. PubchemFP604 (0.000358)
1049. PubchemFP372 (0.000356)
1050. PubchemFP193 (0.000354)
1051. nssS (0.000353)
1052. PubchemFP353 (0.000350)
1053. PubchemFP187 (0.000350)
1054. PubchemFP683 (0.000349)
1055. PubchemFP301 (0.000349)
1056. PubchemFP517 (0.000347)
1057. PubchemFP737 (0.000344)
1058. PubchemFP384 (0.000342)
1059. PubchemFP524 (0.000342)
1060. PubchemFP758 (0.000338)
1061. PubchemFP467 (0.000337)
1062. PubchemFP689 (0.000336)
1063. PubchemFP386 (0.000336)
1064. nF12Ring (0.000335)
1065. PubchemFP657 (0.000335)
1066. MDEN-33 (0.000333)
1067. PubchemFP777 (0.000333)
1068. PubchemFP519 (0.000332)
1069. PubchemFP680 (0.000332)
1070. maxHBint10 (0.000332)
1071. nHBint10 (0.000332)
1072. PubchemFP638 (0.000331)
1073. minHBint10 (0.000330)
1074. nT12Ring (0.000330)
1075. PubchemFP585 (0.000329)
1076. PubchemFP340 (0.000327)
1077. PubchemFP438 (0.000327)
1078. PubchemFP607 (0.000326)
1079. SHBint10 (0.000325)
1080. PubchemFP495 (0.000324)
1081. PubchemFP216 (0.000321)
1082. PubchemFP647 (0.000320)
1083. PubchemFP382 (0.000320)
1084. PubchemFP685 (0.000319)
1085. PubchemFP432 (0.000318)
1086. PubchemFP628 (0.000318)
1087. PubchemFP364 (0.000317)
1088. PubchemFP608 (0.000317)
1089. PubchemFP567 (0.000316)
1090. PubchemFP595 (0.000315)
1091. PubchemFP682 (0.000315)
1092. PubchemFP178 (0.000315)
1093. PubchemFP601 (0.000314)
1094. nF8HeteroRing (0.000313)
1095. PubchemFP750 (0.000311)
1096. PubchemFP395 (0.000311)
1097. maxsOm (0.000310)
1098. nHsNH2 (0.000310)
1099. nT8HeteroRing (0.000309)
1100. PubchemFP144 (0.000307)
1101. PubchemFP389 (0.000307)
1102. minsOm (0.000307)
1103. PubchemFP813 (0.000307)
1104. PubchemFP621 (0.000307)
1105. SsNH2 (0.000307)
1106. naaO (0.000306)
1107. PubchemFP573 (0.000305)
1108. nsNH2 (0.000305)
1109. PubchemFP504 (0.000305)
1110. PubchemFP259 (0.000305)
1111. PubchemFP592 (0.000305)
1112. PubchemFP637 (0.000304)
1113. PubchemFP379 (0.000303)
1114. nT12HeteroRing (0.000303)
1115. PubchemFP663 (0.000303)
1116. PubchemFP476 (0.000302)
1117. PubchemFP596 (0.000302)
1118. PubchemFP149 (0.000301)
1119. PubchemFP334 (0.000300)
1120. PubchemFP626 (0.000300)
1121. maxsNH2 (0.000299)
1122. PubchemFP589 (0.000299)
1123. PubchemFP713 (0.000298)
1124. PubchemFP819 (0.000298)
1125. nF8Ring (0.000297)
1126. nT8Ring (0.000297)
1127. nF12HeteroRing (0.000297)
1128. minaaO (0.000296)
1129. PubchemFP662 (0.000295)
1130. maxaaO (0.000294)
1131. SaaO (0.000292)
1132. PubchemFP533 (0.000292)
1133. minsNH2 (0.000292)
1134. PubchemFP10 (0.000291)
1135. PubchemFP565 (0.000291)
1136. PubchemFP619 (0.000290)
1137. PubchemFP548 (0.000287)
1138. PubchemFP655 (0.000286)
1139. PubchemFP552 (0.000286)
1140. PubchemFP678 (0.000283)
1141. PubchemFP536 (0.000283)
1142. PubchemFP660 (0.000283)
1143. PubchemFP651 (0.000283)
1144. PubchemFP632 (0.000282)
1145. PubchemFP434 (0.000281)
1146. PubchemFP570 (0.000281)
1147. PubchemFP484 (0.000281)
1148. PubchemFP422 (0.000280)
1149. PubchemFP148 (0.000280)
1150. PubchemFP606 (0.000280)
1151. PubchemFP620 (0.000279)
1152. PubchemFP381 (0.000279)
1153. PubchemFP756 (0.000279)
1154. PubchemFP520 (0.000278)
1155. PubchemFP541 (0.000278)
1156. PubchemFP498 (0.000278)
1157. PubchemFP470 (0.000277)
1158. PubchemFP328 (0.000277)
1159. PubchemFP574 (0.000274)
1160. PubchemFP409 (0.000274)
1161. PubchemFP833 (0.000270)
1162. PubchemFP370 (0.000269)
1163. nsOm (0.000269)
1164. PubchemFP542 (0.000269)
1165. PubchemFP770 (0.000266)
1166. PubchemFP602 (0.000265)
1167. PubchemFP640 (0.000264)
1168. PubchemFP34 (0.000263)
1169. PubchemFP590 (0.000262)
1170. PubchemFP572 (0.000261)
1171. SsOm (0.000261)
1172. PubchemFP421 (0.000261)
1173. PubchemFP388 (0.000257)
1174. SaaNH (0.000257)
1175. maxsBr (0.000256)
1176. PubchemFP215 (0.000254)
1177. PubchemFP153 (0.000253)
1178. PubchemFP575 (0.000253)
1179. maxaaNH (0.000251)
1180. PubchemFP43 (0.000250)
1181. PubchemFP297 (0.000250)
1182. minaaNH (0.000250)
1183. PubchemFP514 (0.000247)
1184. PubchemFP327 (0.000247)
1185. minsBr (0.000247)
1186. MDEN-13 (0.000247)
1187. PubchemFP490 (0.000245)
1188. PubchemFP488 (0.000245)
1189. PubchemFP400 (0.000244)
1190. PubchemFP255 (0.000243)
1191. PubchemFP11 (0.000243)
1192. PubchemFP711 (0.000241)
1193. naaNH (0.000241)
1194. PubchemFP667 (0.000241)
1195. PubchemFP399 (0.000241)
1196. PubchemFP599 (0.000240)
1197. PubchemFP486 (0.000238)
1198. nHaaNH (0.000238)
1199. PubchemFP547 (0.000237)
1200. PubchemFP635 (0.000237)
1201. PubchemFP477 (0.000235)
1202. PubchemFP355 (0.000234)
1203. PubchemFP705 (0.000234)
1204. PubchemFP556 (0.000233)
1205. ndCH2 (0.000233)
1206. SHaaNH (0.000232)
1207. PubchemFP616 (0.000231)
1208. maxHaaNH (0.000230)
1209. minHaaNH (0.000230)
1210. nHdCH2 (0.000228)
1211. SdCH2 (0.000227)
1212. PubchemFP527 (0.000225)
1213. PubchemFP471 (0.000224)
1214. PubchemFP305 (0.000224)
1215. SsBr (0.000221)
1216. SHdCH2 (0.000220)
1217. PubchemFP508 (0.000219)
1218. PubchemFP378 (0.000217)
1219. PubchemFP801 (0.000217)
1220. PubchemFP532 (0.000216)
1221. PubchemFP738 (0.000216)
1222. PubchemFP500 (0.000215)
1223. PubchemFP693 (0.000215)
1224. minHdCH2 (0.000213)
1225. PubchemFP624 (0.000213)
1226. PubchemFP475 (0.000212)
1227. PubchemFP499 (0.000212)
1228. PubchemFP423 (0.000212)
1229. PubchemFP21 (0.000211)
1230. maxdCH2 (0.000209)
1231. ndS (0.000209)
1232. mindCH2 (0.000209)
1233. nBr (0.000208)
1234. PubchemFP261 (0.000207)
1235. PubchemFP554 (0.000206)
1236. maxdS (0.000205)
1237. maxHdCH2 (0.000205)
1238. nwHBd (0.000203)
1239. PubchemFP283 (0.000203)
1240. PubchemFP513 (0.000202)
1241. PubchemFP511 (0.000202)
1242. nsBr (0.000201)
1243. PubchemFP629 (0.000199)
1244. SdS (0.000198)
1245. PubchemFP383 (0.000198)
1246. PubchemFP489 (0.000198)
1247. PubchemFP332 (0.000197)
1248. PubchemFP454 (0.000196)
1249. nHCHnX (0.000196)
1250. PubchemFP661 (0.000195)
1251. PubchemFP397 (0.000193)
1252. ndssS (0.000193)
1253. PubchemFP563 (0.000193)
1254. PubchemFP446 (0.000191)
1255. maxHCHnX (0.000191)
1256. SHCHnX (0.000191)
1257. mindS (0.000189)
1258. PubchemFP195 (0.000188)
1259. PubchemFP670 (0.000188)
1260. SwHBd (0.000186)
1261. PubchemFP509 (0.000185)
1262. mindssS (0.000184)
1263. maxwHBd (0.000183)
1264. PubchemFP200 (0.000182)
1265. PubchemFP330 (0.000182)
1266. SaaS (0.000182)
1267. minaaS (0.000182)
1268. PubchemFP38 (0.000182)
1269. minwHBd (0.000178)
1270. minHCHnX (0.000177)
1271. PubchemFP531 (0.000177)
1272. PubchemFP675 (0.000176)
1273. SdssS (0.000175)
1274. PubchemFP653 (0.000174)
1275. PubchemFP822 (0.000173)
1276. PubchemFP480 (0.000170)
1277. PubchemFP759 (0.000170)
1278. naaS (0.000170)
1279. PubchemFP485 (0.000169)
1280. PubchemFP784 (0.000169)
1281. PubchemFP116 (0.000169)
1282. PubchemFP740 (0.000169)
1283. PubchemFP152 (0.000169)
1284. maxHAvin (0.000163)
1285. PubchemFP361 (0.000163)
1286. PubchemFP721 (0.000161)
1287. PubchemFP13 (0.000160)
1288. nHAvin (0.000160)
1289. PubchemFP746 (0.000158)
1290. PubchemFP131 (0.000156)
1291. minHAvin (0.000156)
1292. PubchemFP809 (0.000155)
1293. SHAvin (0.000153)
1294. PubchemFP0 (0.000151)
1295. PubchemFP473 (0.000151)
1296. PubchemFP622 (0.000148)
1297. C1SP1 (0.000147)
1298. PubchemFP724 (0.000146)
1299. PubchemFP416 (0.000146)
1300. PubchemFP497 (0.000146)
1301. PubchemFP218 (0.000145)
1302. PubchemFP558 (0.000144)
1303. PubchemFP219 (0.000144)
1304. PubchemFP803 (0.000144)
1305. SRW3 (0.000143)
1306. PubchemFP787 (0.000143)
1307. C2SP1 (0.000143)
1308. PubchemFP115 (0.000142)
1309. PubchemFP460 (0.000142)
1310. PubchemFP336 (0.000142)
1311. PubchemFP518 (0.000141)
1312. PubchemFP417 (0.000141)
1313. PubchemFP474 (0.000141)
1314. PubchemFP427 (0.000141)
1315. PubchemFP343 (0.000136)
1316. n3Ring (0.000136)
1317. PubchemFP404 (0.000134)
1318. PubchemFP522 (0.000132)
1319. PubchemFP441 (0.000128)
1320. PubchemFP394 (0.000128)
1321. PubchemFP681 (0.000126)
1322. PubchemFP182 (0.000126)
1323. PubchemFP791 (0.000125)
1324. PubchemFP588 (0.000125)
1325. PubchemFP494 (0.000124)
1326. MDEN-11 (0.000123)
1327. PubchemFP39 (0.000122)
1328. PubchemFP728 (0.000121)
1329. PubchemFP612 (0.000121)
1330. PubchemFP826 (0.000118)
1331. PubchemFP398 (0.000118)
1332. PubchemFP568 (0.000117)
1333. PubchemFP650 (0.000116)
1334. PubchemFP401 (0.000113)
1335. PubchemFP455 (0.000110)
1336. PubchemFP631 (0.000110)
1337. PubchemFP652 (0.000110)
1338. PubchemFP812 (0.000110)
1339. PubchemFP559 (0.000110)
1340. PubchemFP543 (0.000110)
1341. PubchemFP25 (0.000108)
1342. PubchemFP429 (0.000107)
1343. PubchemFP129 (0.000107)
1344. PubchemFP367 (0.000107)
1345. ETA_dPsi_B (0.000105)
1346. PubchemFP479 (0.000103)
1347. PubchemFP132 (0.000102)
1348. PubchemFP347 (0.000100)
1349. PubchemFP749 (0.000098)
1350. PubchemFP669 (0.000094)
1351. PubchemFP782 (0.000094)
1352. PubchemFP676 (0.000094)
1353. PubchemFP731 (0.000091)
1354. PubchemFP742 (0.000089)
1355. PubchemFP686 (0.000089)
1356. PubchemFP805 (0.000089)
1357. PubchemFP625 (0.000088)
1358. PubchemFP648 (0.000087)
1359. PubchemFP794 (0.000087)
1360. PubchemFP610 (0.000085)
1361. nT4HeteroRing (0.000083)
1362. PubchemFP778 (0.000083)
1363. PubchemFP715 (0.000083)
1364. PubchemFP868 (0.000082)
1365. PubchemFP496 (0.000081)
1366. n4HeteroRing (0.000080)
1367. PubchemFP329 (0.000079)
1368. PubchemFP861 (0.000078)
1369. PubchemFP752 (0.000078)
1370. n4Ring (0.000078)
1371. PubchemFP815 (0.000078)
1372. PubchemFP719 (0.000078)
1373. nT4Ring (0.000077)
1374. nF7Ring (0.000075)
1375. nP (0.000075)
1376. nG12HeteroRing (0.000074)
1377. PubchemFP456 (0.000074)
1378. PubchemFP411 (0.000074)
1379. PubchemFP314 (0.000074)
1380. nG12Ring (0.000073)
1381. ndsssP (0.000073)
1382. PubchemFP30 (0.000072)
1383. PubchemFP840 (0.000072)
1384. PubchemFP860 (0.000071)
1385. PubchemFP425 (0.000071)
1386. SdsssP (0.000071)
1387. mindsssP (0.000071)
1388. PubchemFP407 (0.000070)
1389. PubchemFP757 (0.000068)
1390. PubchemFP820 (0.000067)
1391. PubchemFP448 (0.000065)
1392. PubchemFP260 (0.000064)
1393. mintCH (0.000064)
1394. PubchemFP194 (0.000063)
1395. PubchemFP428 (0.000062)
1396. StCH (0.000062)
1397. maxtCH (0.000062)
1398. minHtCH (0.000062)
1399. maxHtCH (0.000061)
1400. PubchemFP202 (0.000060)
1401. nHtCH (0.000060)
1402. PubchemFP842 (0.000058)
1403. PubchemFP360 (0.000058)
1404. PubchemFP609 (0.000058)
1405. PubchemFP492 (0.000058)
1406. SHtCH (0.000058)
1407. ntCH (0.000056)
1408. PubchemFP466 (0.000055)
1409. PubchemFP551 (0.000055)
1410. PubchemFP694 (0.000054)
1411. PubchemFP687 (0.000053)
1412. nF6Ring (0.000053)
1413. PubchemFP730 (0.000052)
1414. PubchemFP793 (0.000052)
1415. PubchemFP17 (0.000052)
1416. PubchemFP722 (0.000048)
1417. PubchemFP483 (0.000048)
1418. PubchemFP785 (0.000047)
1419. PubchemFP839 (0.000045)
1420. PubchemFP771 (0.000041)
1421. PubchemFP510 (0.000041)
1422. PubchemFP834 (0.000041)
1423. maxddC (0.000041)
1424. nddC (0.000040)
1425. SddC (0.000040)
1426. PubchemFP529 (0.000039)
1427. minddC (0.000039)
1428. PubchemFP772 (0.000037)
1429. PubchemFP754 (0.000035)
1430. PubchemFP835 (0.000035)
1431. PubchemFP763 (0.000035)
1432. PubchemFP44 (0.000034)
1433. PubchemFP139 (0.000034)
1434. PubchemFP817 (0.000034)
1435. PubchemFP136 (0.000033)
1436. PubchemFP35 (0.000031)
1437. PubchemFP718 (0.000030)
1438. PubchemFP781 (0.000030)
1439. PubchemFP344 (0.000028)
1440. PubchemFP773 (0.000026)
1441. PubchemFP804 (0.000025)
1442. PubchemFP741 (0.000025)
1443. nF6HeteroRing (0.000024)
1444. PubchemFP836 (0.000024)
1445. PubchemFP9 (0.000024)
1446. nssssssS (0.000024)
1447. PubchemFP526 (0.000024)
1448. SssssssS (0.000023)
1449. PubchemFP284 (0.000023)
1450. minsI (0.000023)
1451. SsI (0.000023)
1452. PubchemFP46 (0.000022)
1453. minssssssS (0.000022)
1454. nsI (0.000022)
1455. PubchemFP317 (0.000022)
1456. maxsI (0.000022)
1457. n8Ring (0.000021)
1458. PubchemFP228 (0.000021)
1459. PubchemFP788 (0.000021)
1460. PubchemFP350 (0.000020)
1461. PubchemFP725 (0.000020)
1462. nI (0.000020)
1463. PubchemFP227 (0.000020)
1464. PubchemFP298 (0.000019)
1465. PubchemFP157 (0.000016)
1466. PubchemFP155 (0.000015)
1467. PubchemFP159 (0.000014)
1468. PubchemFP160 (0.000014)
1469. PubchemFP156 (0.000013)
1470. PubchemFP191 (0.000012)
1471. SHdNH (0.000012)
1472. nHdNH (0.000012)
1473. minHdNH (0.000012)
1474. maxHdNH (0.000012)
1475. PubchemFP789 (0.000012)
1476. ndNH (0.000012)
1477. PubchemFP726 (0.000012)
1478. PubchemFP720 (0.000011)
1479. PubchemFP799 (0.000011)
1480. maxdNH (0.000011)
1481. PubchemFP736 (0.000011)
1482. SdNH (0.000011)
1483. mindNH (0.000011)
1484. PubchemFP783 (0.000011)
1485. PubchemFP863 (0.000010)
1486. PubchemFP243 (0.000009)
1487. PubchemFP244 (0.000009)
1488. n9Ring (0.000009)
1489. PubchemFP241 (0.000009)
1490. n9HeteroRing (0.000008)
1491. PubchemFP147 (0.000008)
1492. PubchemFP587 (0.000008)
1493. PubchemFP478 (0.000007)
1494. n3HeteroRing (0.000006)
1495. PubchemFP118 (0.000005)
1496. PubchemFP331 (0.000005)
1497. PubchemFP827 (0.000003)
1498. PubchemFP201 (0.000003)
1499. PubchemFP214 (0.000003)
1500. PubchemFP764 (0.000003)
1501. PubchemFP743 (0.000003)
1502. PubchemFP436 (0.000003)
1503. SHsssNHp (0.000003)
1504. PubchemFP583 (0.000003)
1505. SsssNHp (0.000003)
1506. PubchemFP706 (0.000003)
1507. PubchemFP217 (0.000003)
1508. minsssNHp (0.000003)
1509. PubchemFP806 (0.000003)
1510. PubchemFP468 (0.000002)
1511. PubchemFP505 (0.000002)
1512. minHsssNHp (0.000002)
1513. maxsssNHp (0.000002)
1514. PubchemFP220 (0.000002)
1515. maxHsssNHp (0.000002)
1516. nHsssNHp (0.000002)
1517. PubchemFP753 (0.000002)
1518. nsssNHp (0.000002)
1519. PubchemFP751 (0.000001)
1520. PubchemFP816 (0.000001)
1521. PubchemFP760 (0.000001)
1522. PubchemFP814 (0.000001)
1523. PubchemFP823 (0.000001)
1524. PubchemFP458 (0.000001)
1525. PubchemFP22 (0.000001)
Number of features left:43
LDA:
             precision    recall  f1-score   support

          0       0.74      0.69      0.72       206
          1       0.72      0.78      0.75       300
          2       0.63      0.52      0.57        75

avg / total       0.71      0.72      0.71       581

Logistic regression:
             precision    recall  f1-score   support

          0       0.73      0.72      0.73       206
          1       0.72      0.80      0.76       300
          2       0.69      0.39      0.50        75

avg / total       0.72      0.72      0.71       581

Support vector classification with linear kernel:
             precision    recall  f1-score   support

          0       0.76      0.70      0.73       206
          1       0.71      0.83      0.77       300
          2       0.80      0.47      0.59        75

avg / total       0.74      0.74      0.73       581

Recursive feature elimination:
LDA + recall_macro:
Optimal number of features : 29
             precision    recall  f1-score   support

          0       0.71      0.70      0.71       206
          1       0.72      0.76      0.74       300
          2       0.62      0.53      0.57        75

avg / total       0.71      0.71      0.71       581

Leave-one-out cross validation accuracy:0.664371772806
LDA + recall_weighted:
Optimal number of features : 29
             precision    recall  f1-score   support

          0       0.71      0.70      0.71       206
          1       0.72      0.76      0.74       300
          2       0.62      0.53      0.57        75

avg / total       0.71      0.71      0.71       581

Leave-one-out cross validation accuracy:0.664371772806
Logistic regression + recall_macro:
Optimal number of features : 41
             precision    recall  f1-score   support

          0       0.74      0.72      0.73       206
          1       0.71      0.79      0.75       300
          2       0.64      0.40      0.49        75

avg / total       0.71      0.72      0.71       581

Leave-one-out cross validation accuracy:0.667814113597
Logistic regression + recall_weighted:
Optimal number of features : 38
             precision    recall  f1-score   support

          0       0.74      0.71      0.72       206
          1       0.71      0.81      0.76       300
          2       0.66      0.39      0.49        75

avg / total       0.72      0.72      0.71       581

Leave-one-out cross validation accuracy:0.672977624785
SVC(linear) + recall_macro:
Optimal number of features : 23
             precision    recall  f1-score   support

          0       0.71      0.69      0.70       206
          1       0.70      0.80      0.75       300
          2       0.66      0.36      0.47        75

avg / total       0.70      0.70      0.70       581

Leave-one-out cross validation accuracy:0.657487091222
SVC(linear) + recall_weighted:
Optimal number of features : 27
             precision    recall  f1-score   support

          0       0.72      0.70      0.71       206
          1       0.71      0.81      0.76       300
          2       0.70      0.37      0.49        75

avg / total       0.71      0.71      0.71       581

Leave-one-out cross validation accuracy:0.660929432014
